lname,fname,team,pos,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Szczur,Matt,CHC,OF,47,72,5,16,5,0,1,8,2,0,6,15,1,1,0,.222,.278,.333,.611
Baker,Jeff,MIA,2B,41,72,11,15,3,0,3,8,0,0,8,25,0,0,0,.208,.288,.375,.663
Garneau,Dustin,COL,C,22,70,6,11,3,0,2,8,0,0,6,14,0,0,0,.157,.224,.286,.510
Morse,Mike,PIT,OF,45,69,6,19,3,1,1,7,0,0,11,21,0,0,2,.275,.390,.391,.781
Ceciliani,Darrell,NYM,OF,39,68,5,14,2,0,1,3,5,1,4,25,0,0,2,.206,.270,.279,.549
La Stella,Tommy,CHC,2B,33,67,4,18,6,0,1,11,2,0,5,7,0,1,1,.269,.324,.403,.727
Gosselin,Phil,ARI,2B,24,66,17,20,5,1,3,13,0,1,7,11,0,1,2,.303,.382,.545,.927
Lavarnway,Ryan,ATL,C,27,66,5,15,5,0,2,6,0,0,8,21,0,0,0,.227,.311,.394,.705
Duvall,Adam,CIN,3B,27,64,6,14,2,0,5,9,0,0,6,26,0,0,2,.219,.306,.484,.790
De Aza,Alejandro,SF,OF,24,61,12,16,4,1,0,3,2,2,12,14,0,1,1,.262,.387,.361,.748
Ishikawa,Travis,PIT,1B,38,58,5,13,3,0,1,8,0,0,8,17,0,0,0,.224,.318,.328,.646
Bogusevic,Brian,PHI,OF,22,58,9,15,3,0,2,5,2,0,3,21,0,0,0,.259,.295,.414,.709
Lake,Junior,CHC,OF,21,58,2,13,4,0,1,5,4,0,4,20,0,0,0,.224,.274,.345,.619
Baxter,Mike,CHC,OF,34,57,6,14,1,0,0,2,0,0,7,14,0,0,2,.246,.348,.263,.611
Terdoslavich,Joey,ATL,OF,28,56,5,12,4,1,1,4,0,0,3,14,0,0,0,.214,.254,.375,.629
Drury,Brandon,ARI,3B,20,56,3,12,3,0,2,8,0,0,2,8,0,0,1,.214,.254,.375,.629
Sanchez,Hector,SF,C,28,56,5,10,4,0,1,5,0,0,2,14,1,0,0,.179,.207,.304,.511
Ruggiano,Justin,LAD,OF,21,55,12,16,4,1,4,12,2,0,3,14,0,0,2,.291,.350,.618,.968
Heisey,Chris,LAD,OF,33,55,8,10,2,0,2,9,0,1,15,17,0,2,0,.182,.347,.327,.674
Almonte,Abraham,SD,OF,31,54,6,11,3,0,0,4,1,1,5,19,3,0,0,.204,.271,.259,.530
Hart,Corey,PIT,1B,35,54,3,12,1,0,2,9,0,0,1,19,0,1,1,.222,.246,.352,.598
Adames,Cristhian,COL,SS,26,53,4,13,1,1,0,3,0,1,3,11,1,0,1,.245,.298,.302,.600
Parker,Jarrett,SF,OF,21,49,11,17,2,0,6,14,1,1,5,21,0,0,0,.347,.407,.755,1.162
Monell,Johnny,NYM,C,27,48,5,8,2,0,0,4,0,0,4,13,0,0,0,.167,.231,.208,.439
Mesoraco,Devin,CIN,C,23,45,2,8,1,1,0,2,1,0,5,9,0,0,1,.178,.275,.244,.519
Castillo,Welington,CHC,C,24,43,5,7,2,0,2,5,0,0,3,12,0,0,1,.163,.234,.349,.583
McBride,Matt,COL,1B,20,42,5,7,0,0,0,0,0,0,0,4,0,0,1,.167,.186,.167,.353
Scruggs,Xavier,STL,1B,17,42,5,11,2,0,0,7,1,0,0,10,0,0,1,.262,.279,.310,.589
Turner,Trea,WAS,SS,27,40,5,9,1,0,1,1,2,2,4,12,0,0,0,.225,.295,.325,.620
Gosselin,Phil,ATL,2B,20,40,2,13,4,0,0,2,2,0,2,5,0,0,0,.325,.357,.425,.782
Perez,Juan C.,SF,OF,22,39,5,11,3,0,0,2,1,0,1,6,0,0,0,.282,.300,.359,.659
Brown,Trevor,SF,C,13,39,1,9,3,0,0,5,1,1,3,8,0,1,0,.231,.279,.308,.587
Tabata,Jose,PIT,OF,27,38,2,11,0,0,0,4,0,1,2,7,0,0,1,.289,.341,.289,.630
Schebler,Scott,LAD,OF,19,36,6,9,0,0,3,4,2,1,3,13,0,0,1,.250,.325,.500,.825
Murphy,Tom,COL,C,11,35,5,9,1,0,3,9,0,0,4,10,0,0,0,.257,.333,.543,.876
Brito,Socrates,ARI,OF,18,33,5,10,3,1,0,1,1,0,1,7,0,0,0,.303,.324,.455,.779
Williamson,Mac,SF,OF,10,32,2,7,0,1,0,1,0,0,0,8,0,1,1,.219,.235,.281,.516
Hernandez,Oscar,ARI,C,18,31,4,5,1,0,0,1,0,0,3,15,1,0,1,.161,.257,.194,.451
Dorn,Danny,ARI,1B,23,30,0,5,1,0,0,3,0,0,2,10,0,0,0,.167,.219,.200,.419
Cabrera,Ramon,CIN,C,13,30,4,11,1,0,1,3,0,0,0,5,0,0,0,.367,.367,.500,.867
Barnes,Austin,LAD,C,20,29,4,6,2,0,0,1,1,0,6,6,1,0,1,.207,.361,.276,.637
Saltalamacchia,Jarrod,MIA,C,9,29,3,2,1,0,1,1,0,0,4,12,0,0,0,.069,.182,.207,.389
Decker,Jaff,PIT,OF,23,28,8,6,1,1,0,1,0,0,7,9,1,0,0,.214,.371,.321,.692
Telis,Tomas,MIA,C,17,27,1,4,0,0,0,0,0,0,1,3,0,0,1,.148,.207,.148,.355
Muno,Danny,NYM,2B,17,27,2,4,1,0,0,0,1,0,4,11,1,0,0,.148,.258,.185,.443
Snider,Travis,PIT,OF,18,26,1,5,3,0,1,8,0,0,3,10,0,0,0,.192,.276,.423,.699
Alcantara,Arismendy,CHC,2B,11,26,5,2,0,0,0,1,1,0,5,11,1,0,0,.077,.226,.077,.303
Lambo,Andrew,PIT,OF,20,25,1,1,1,0,0,0,0,0,2,8,0,0,0,.040,.111,.080,.191
LaMarre,Ryan,CIN,OF,21,25,2,2,0,0,0,0,0,0,0,9,1,0,0,.080,.080,.080,.160
Florimon,Pedro,PIT,SS,24,23,5,2,0,1,0,1,1,0,2,12,0,0,0,.087,.160,.174,.334
Dominguez,Chris,CIN,3B,14,23,2,6,1,1,1,3,0,0,0,12,0,0,0,.261,.261,.522,.783
Peraza,Jose,LAD,2B,7,22,3,4,1,1,0,1,3,0,2,2,1,0,0,.182,.250,.318,.568
Noonan,Nick,SF,2B,14,22,2,2,1,0,1,3,0,0,2,8,0,0,0,.091,.167,.273,.440
Centeno,Juan,MIL,C,10,21,0,1,1,0,0,0,0,0,2,7,0,0,0,.048,.130,.095,.225
Johnson,Dan,STL,1B,12,19,1,3,0,0,0,2,0,0,2,4,0,0,0,.158,.238,.158,.396
d'Arnaud,Chase,PHI,SS,11,17,2,3,0,1,0,0,0,1,1,7,0,0,0,.176,.222,.294,.516
Romak,Jamie,ARI,3B,12,15,2,5,2,0,0,1,0,0,1,6,0,0,0,.333,.375,.467,.842
Teagarden,Taylor,CHC,C,8,15,0,3,0,0,0,2,0,0,0,4,0,0,0,.200,.200,.200,.400
Olt,Mike,CHC,3B,6,15,1,2,0,0,1,1,0,0,0,6,0,0,1,.133,.188,.333,.521
Rivera,Yadiel,MIL,SS,7,14,0,1,0,0,0,0,0,0,0,4,1,0,0,.071,.071,.071,.142
Nieves,Wil,SD,C,6,13,1,1,0,0,1,4,0,0,1,4,0,0,0,.077,.143,.308,.451
Lollis,Ryan,SF,OF,5,12,0,2,0,0,0,0,1,0,1,1,0,0,0,.167,.231,.167,.398
Difo,Wilmer,WAS,SS,15,11,1,2,0,0,0,0,0,0,0,2,0,0,0,.182,.182,.182,.364
Frandsen,Kevin,SF,OF,7,11,1,2,0,0,0,0,0,0,1,3,1,0,0,.182,.250,.182,.432
Holt,Tyler,CIN,OF,5,11,2,1,0,0,0,0,1,0,2,2,0,0,0,.091,.231,.091,.322
Decker,Cody,SD,1B,8,11,0,0,0,0,0,1,0,0,0,5,0,1,0,.000,.000,.000,.000
Gale,Rocky,SD,C,11,10,0,1,0,0,0,0,0,0,0,1,0,0,0,.100,.100,.100,.200
O'Brien,Peter,ARI,OF,8,10,1,4,1,0,1,3,0,0,2,5,0,0,0,.400,.500,.800,1.300
Williams,Jackson,SF,C,7,10,1,2,1,0,0,1,1,0,4,1,0,0,0,.200,.429,.300,.729
Stanley,Cody,STL,C,9,10,2,4,1,0,0,3,0,0,0,3,0,0,0,.400,.400,.500,.900
Young Jr.,Eric,NYM,OF,18,8,9,0,0,0,0,0,3,2,0,1,0,0,1,.000,.111,.000,.111
Dickerson,Alex,SD,OF,11,8,0,2,0,0,0,0,0,0,0,3,0,0,0,.250,.250,.250,.500
Sanchez,Tony,PIT,C,3,8,2,3,0,0,0,0,0,0,1,3,0,0,0,.375,.444,.375,.819
Morel,Brent,PIT,3B,3,7,1,2,1,0,0,1,0,0,0,3,0,0,0,.286,.286,.429,.715
Reed,Michael,MIL,OF,7,6,2,2,1,0,0,0,0,0,0,3,0,0,0,.333,.333,.500,.833
Torreyes,Ronnie,LAD,2B,8,6,1,2,1,0,0,1,0,0,1,1,1,0,0,.333,.429,.500,.929
Easley,Ed,STL,C,4,6,0,0,0,0,0,1,0,0,0,1,0,1,0,.000,.000,.000,.000
Ishikawa,Travis,SF,1B,6,5,1,0,0,0,0,0,0,0,1,3,0,0,0,.000,.167,.000,.167
Hernandez,Gorkys,PIT,OF,8,5,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,.000
